name,url,version
images/ui/gasha/parts.json_image,gasha_parts.png,10
images/ui/gasha/parts_narrow_gasha_button.json_image,narrow_gasha_button.png,1
images/ui/work_activity_ready/parts.json_image,work_activity_ready.png,3
ae/work_activity_start/images/text_final.png,text_final.png,2
ae/work_activity_start/images/txt4.png,txt4.png,2
ae/work_activity_start/images/txt3.png,txt3.png,2
ae/work_activity_start/images/txt2.png,txt2.png,2
ae/work_activity_start/images/txt1.png,txt1.png,2
images/tips/mission/002.jpg,mission_002.png,6
images/tips/reserve_idol/003.jpg,reserve_idol_003.png,6
images/tips/reserve_idol/002.jpg,reserve_idol_002.png,7
images/tips/reserve_idol/001.jpg,reserve_idol_001.png,7
images/tips/mission/004.jpg,mission_004.png,6
images/tips/reserve_idol/004.jpg,reserve_idol_004.png,7
images/tips/mission/003.jpg,mission_003.png,6
images/tips/mission/001.jpg,mission_001.png,6
images/tips/produce_action/002.jpg,produce_action_002.png,6
images/tips/produce_action/005.jpg,produce_action_005.png,6
images/tips/produce_action/001.jpg,produce_action_001.png,6
images/tips/produce_top/002.jpg,produce_top_002.png,6
images/tips/produce_top/005.jpg,produce_top_005.png,6
images/tips/produce_action/004.jpg,produce_action_004.png,6
images/tips/produce_top/003.jpg,produce_top_003.png,6
images/tips/produce_top/004.jpg,produce_top_004.png,6
images/tips/produce_action/003.jpg,produce_action_003.png,6
images/tips/produce_top/001.jpg,produce_top_001.png,6
images/content/home_deck_background/bg/00023.jpg,home_00023.jpg,1
images/ui/raid_top/parts.json_image,raid_top.png,1
images/ui/game_event/parts_button.json_image,game_event_button.png,1
images/ui/raid_concert/parts.json_image,raid_concert.png,1
images/ui/start/start_notice.jpg,start_notice.jpg,7
